"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT08","WT10"
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-02-20","9.40"," 1628"," 1543","0.00",,"23","30","16",,"  350","  360","17.0","21.9",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-02-21","12.30"," 1657"," 1547","0.00",,"22","31","13",,"  360","  360","21.0","31.1",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-02-22","6.93"," 1031"," 1305","0.00",,"19","28","10",,"   40","   70","11.0","17.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-02-23","9.17"," 1741"," 1547","0.00",,"23","30","16",,"   80","   70","16.1","21.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-02-24","7.38"," 1640"," 1743","0.10",,"25","36","14",,"  130","  130","13.0","15.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-02-25","7.16"," 1127"," 1126","0.05",,"25","33","16",,"  330","  320","16.1","19.9",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-02-26","3.80"," 1504"," 1330","0.00",,"23","34","12",,"  180","  180","11.0","15.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-02-27","6.49"," 1904"," 1305","0.29",,"33","38","27",,"  100","  110","11.0","15.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-02-28","13.87"," 1354"," 2341","0.18",,"37","40","33",,"  250","  290","25.9","31.1",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-03-01","13.87"," 1019"," 0537","0.00",,"31","35","26",,"  310","  310","23.9","31.1",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-03-02","6.04"," 1720"," 1225","0.21",,"31","42","19",,"  160","  180","14.1","17.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-03-03","12.75"," 1033"," 1337","0.08",,"31","33","28",,"  320","  310","23.0","31.1",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-03-04","12.08"," 1103"," 0027","0.00",,"29","35","22",,"  300","  310","23.0","30.0",,,,,
